250,1250,1,1,1,1240,1,1,1240
250,1250,4,2,4,1120,2,4,1120
250,1250,12,3,12,1180,3,12,1180
500,1500,1,1,1,1240,1,1,1240
500,1500,4,2,4,1120,2,4,1120
500,1500,12,3,12,1180,3,12,1180
500,1500,4,2,4,1120,6,4,1480
500,1500,12,3,12,1180,5,12,1475
500,1500,12,5,12,1475,3,12,1180
500,1500,4,6,4,1480,2,4,1120
500,1500,12,5,12,1475,5,12,1475
500,1500,4,6,4,1480,6,4,1480
500,1500,5,7,5,1350,7,5,1350
750,1750,1,1,1,1240,1,1,1240
750,1750,4,2,4,1120,2,4,1120
750,1750,12,3,12,1180,3,12,1180
750,1750,4,2,4,1120,6,4,1480
750,1750,12,3,12,1180,5,12,1475
750,1750,12,3,12,1180,4,12,1501
750,1750,12,5,12,1475,3,12,1180
750,1750,4,6,4,1480,2,4,1120
750,1750,12,5,12,1475,5,12,1475
750,1750,4,6,4,1480,6,4,1480
750,1750,5,7,5,1350,7,5,1350
750,1750,12,5,12,1475,4,12,1501
750,1750,12,4,12,1501,3,12,1180
750,1750,12,4,12,1501,5,12,1475
750,1750,12,4,12,1501,4,12,1501
750,1750,3,10,3,1650,10,3,1650
1000,2000,1,1,1,1240,1,1,1240
1000,2000,4,2,4,1120,2,4,1120
1000,2000,12,3,12,1180,3,12,1180
1000,2000,4,2,4,1120,6,4,1480
1000,2000,12,3,12,1180,5,12,1475
1000,2000,12,3,12,1180,4,12,1501
1000,2000,1,1,1,1240,9,1,1999
1000,2000,12,5,12,1475,3,12,1180
1000,2000,4,6,4,1480,2,4,1120
1000,2000,12,5,12,1475,5,12,1475
1000,2000,4,6,4,1480,6,4,1480
1000,2000,5,7,5,1350,7,5,1350
1000,2000,12,5,12,1475,4,12,1501
1000,2000,5,7,5,1350,8,5,1750
1000,2000,12,4,12,1501,3,12,1180
1000,2000,12,4,12,1501,5,12,1475
1000,2000,12,4,12,1501,4,12,1501
1000,2000,3,10,3,1650,10,3,1650
1000,2000,1,9,1,1999,1,1,1240
1000,2000,5,8,5,1750,7,5,1350
1000,2000,5,8,5,1750,8,5,1750
1000,2000,1,9,1,1999,9,1,1999
1000,2000,20,12,20,1987,12,20,1987
1250,2250,12,5,12,1475,5,12,1475
1250,2250,4,6,4,1480,6,4,1480
1250,2250,5,7,5,1350,7,5,1350
1250,2250,12,5,12,1475,4,12,1501
1250,2250,5,7,5,1350,8,5,1750
1250,2250,12,4,12,1501,5,12,1475
1250,2250,12,4,12,1501,4,12,1501
1250,2250,3,10,3,1650,10,3,1650
1250,2250,3,10,3,1650,11,3,2240
1250,2250,5,8,5,1750,7,5,1350
1250,2250,5,8,5,1750,8,5,1750
1250,2250,1,9,1,1999,9,1,1999
1250,2250,20,12,20,1987,12,20,1987
1250,2250,20,12,20,1987,13,20,2010
1250,2250,3,11,3,2240,10,3,1650
1250,2250,20,13,20,2010,12,20,1987
1250,2250,3,11,3,2240,11,3,2240
1250,2250,20,13,20,2010,13,20,2010
1250,2250,17,14,17,2200,14,17,2200
1500,2500,12,4,12,1501,4,12,1501
1500,2500,3,10,3,1650,10,3,1650
1500,2500,3,10,3,1650,11,3,2240
1500,2500,5,8,5,1750,8,5,1750
1500,2500,1,9,1,1999,9,1,1999
1500,2500,20,12,20,1987,12,20,1987
1500,2500,20,12,20,1987,13,20,2010
1500,2500,3,11,3,2240,10,3,1650
1500,2500,20,13,20,2010,12,20,1987
1500,2500,3,11,3,2240,11,3,2240
1500,2500,20,13,20,2010,13,20,2010
1500,2500,17,14,17,2200,14,17,2200
1500,2500,42,17,42,2400,17,42,2400
1750,2750,5,8,5,1750,8,5,1750
1750,2750,1,9,1,1999,9,1,1999
1750,2750,20,12,20,1987,12,20,1987
1750,2750,20,12,20,1987,13,20,2010
1750,2750,20,13,20,2010,12,20,1987
1750,2750,3,11,3,2240,11,3,2240
1750,2750,20,13,20,2010,13,20,2010
1750,2750,17,14,17,2200,14,17,2200
1750,2750,17,14,17,2200,15,17,2600
1750,2750,42,17,42,2400,17,42,2400
1750,2750,17,15,17,2600,14,17,2200
1750,2750,17,15,17,2600,15,17,2600
2000,3000,3,11,3,2240,11,3,2240
2000,3000,20,13,20,2010,13,20,2010
2000,3000,17,14,17,2200,14,17,2200
2000,3000,17,14,17,2200,15,17,2600
2000,3000,17,14,17,2200,16,17,2800
2000,3000,42,17,42,2400,17,42,2400
2000,3000,42,17,42,2400,18,42,2990
2000,3000,17,15,17,2600,14,17,2200
2000,3000,17,15,17,2600,15,17,2600
2000,3000,17,15,17,2600,16,17,2800
2000,3000,17,16,17,2800,14,17,2200
2000,3000,42,18,42,2990,17,42,2400
2000,3000,17,16,17,2800,15,17,2600
2000,3000,17,16,17,2800,16,17,2800
2000,3000,42,18,42,2990,18,42,2990
2250,3250,42,17,42,2400,17,42,2400
2250,3250,42,17,42,2400,18,42,2990
2250,3250,17,15,17,2600,15,17,2600
2250,3250,17,15,17,2600,16,17,2800
2250,3250,42,18,42,2990,17,42,2400
2250,3250,17,16,17,2800,15,17,2600
2250,3250,17,16,17,2800,16,17,2800
2250,3250,42,18,42,2990,18,42,2990
2500,3500,17,15,17,2600,15,17,2600
2500,3500,17,15,17,2600,16,17,2800
2500,3500,17,16,17,2800,15,17,2600
2500,3500,17,16,17,2800,16,17,2800
2500,3500,42,18,42,2990,18,42,2990
2750,3750,17,16,17,2800,16,17,2800
2750,3750,42,18,42,2990,18,42,2990
