type,metadata.generated,metadata.title,metadata.id,features.type,features.properties.capacity,features.properties.efficiency,features.properties.mag,features.properties.time,features.properties.updated,features.properties.type,features.geometry.type,features.geometry.coordinates.longitude,features.geometry.coordinates.latitude,features.eventId
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,1177199.3460199272,1647385200000,1647385200000,electricityGeneration,Point,7.308531462369476,48.05836862746158,7772d86a-62da-4099-85d7-c8f2103ef928
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,1721456.552220935,1647385200000,1647385260000,electricityGeneration,Point,7.308531462369476,48.05836862746158,acce47bb-58a4-449c-bed2-262e239e89ff
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,1134483.8669515525,1647385200000,1647385320000,electricityGeneration,Point,7.308531462369476,48.05836862746158,fca4d4d6-0322-446a-bd29-99cb0f5eb931
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,432727.88775078155,1647385200000,1647385380000,electricityGeneration,Point,7.308531462369476,48.05836862746158,49c1cef3-ceab-4c01-bd6b-44403024c205
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,300423.1833153829,1647385200000,1647385440000,electricityGeneration,Point,7.308531462369476,48.05836862746158,78297d68-f111-4f0e-827f-980af57e5499
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,780819.2180833379,1647385200000,1647385500000,electricityGeneration,Point,7.308531462369476,48.05836862746158,8a44b867-b9e4-4c2c-83ab-e403df4975aa
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,587663.2907039707,1647385200000,1647385560000,electricityGeneration,Point,7.308531462369476,48.05836862746158,77e2aeff-3b67-469e-85c1-42961f641f2a
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,399381.75570291874,1647385200000,1647385620000,electricityGeneration,Point,7.308531462369476,48.05836862746158,e5af0807-fe3e-48b8-8a1f-5ca4f150abe2
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,385812.96198342077,1647385200000,1647385680000,electricityGeneration,Point,7.308531462369476,48.05836862746158,986755ed-d758-4f9c-96fa-d138075999c6
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,622460.6627473423,1647385200000,1647385740000,electricityGeneration,Point,7.308531462369476,48.05836862746158,70d8d97d-cb84-42c7-b3fe-2d075ccf9183
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,650f0dac-6228-4ee8-906d-4173261d7095,Features,2852,0.716777771141311,94022.75877433532,1647385200000,1647385800000,electricityGeneration,Point,7.308531462369476,48.05836862746158,58383152-7651-427f-a42b-273c8df0c4de
